authors,category,content,language,published_date,title,url,website_name
unknown,politics,चन्द्रमाको दक्षिणी ध्रुवमा नियन्त्रित अवतरण गराउने पहिलो देश बन्ने लक्ष्य रुसले राखेको थियो  उक्त अन्तरिक्षयानलाई चन्द्रमाको दक्षिणी ध्रुवमा अवतरण गराउने उद्देश्य मस्कोले राखेको थियो।  लूना-२५ अन्तरिक्षयान झण्डै ५० वर्षमा रुसको पहिलो चन्द्र अभियान थियो।  यसअघि रुसले सन् १९७६ मा आफ्नो पहिलो चन्द्रयान प्रक्षेपण गरेको थियो। मानवरहित उक्त यान चन्द्रमाको दक्षिणी ध्रुवमा नियन्त्रित अवतरण गर्ने क्रममा थियो।  तर अवतरण गर्नुअघिको कक्षमा पुगेपछि त्यसमा समस्या देखिएको थियो।  रुसी सरकारी अन्तरिक्ष निकाय रोसकोमोसले लूना-२५ मा समस्या देखा परेलगत्तै त्यससँग सम्पर्क गुमाएको जनाएको छ।  उक्त यानको अवतरण सोमवारका लागि तय गरिएको थियो।  चन्द्रमाको उक्त क्षेत्रमा बरफ र महत्त्वपूर्ण तत्त्वहरू हुनसक्ने वैज्ञानिकहरूले ठानेका छन्।  रुसले झन्डै ५० वर्षपछि चन्द्रमामा अन्तरिक्षयान प्रक्षेपण गरेको थियो पश्चिमा प्रतिबन्धहरूको सामना गरिरहेको रुसले थप चन्द्रयानहरू पठाउने र चीनसँग मिलेर पनि अन्तरिक्ष अभियान अघि बढाउने बताउने गरेको छ। हालसम्म कुनै पनि देश नपुगेको दक्षिणी ध्रुवमा यतिखेर भारत तथा रुसबिच प्रतिस्पर्धा चलेको थियो जहाँ भारतको चन्द्रयान-३ अर्को साता त्यहाँ अवतरण गर्ने प्रयासमा छ। यद्यपि अमेरिका र चीनले चन्द्रमाको सतहमा नियन्त्रित अवतरण गरिसकेका छन्। 2023 बीबीसी। अन्य वेबसाइटका सामग्रीहरूका लागि बीबीसी जिम्मेवार छैन।  ,nepali,20-08-2023,रुसले चन्द्रमामा नियन्त्रित अवतरण गर्ने उद्देश्यसहित पठाएको एउटा अन्तरिक्षयान दुर्घटनाग्रस्त भएको अधिकारीहरूले बताएका छन्। चन्द्रमाको दक्षिणी ध्रुवमा नियन्त्रित अवतरण गराउने पहिलो देश बन्ने लक्ष्य रुसले राखेको थियो  उक्त अन्तरिक्षयानलाई चन्द्रमाको दक्षिणी ध्रुवमा अवतरण गराउने उद्देश्य मस्कोले राखेको थियो।  लूना-२५ अन्तरिक्षयान झण्डै ५० वर्षमा रुसको पहिलो चन्द्र अभियान थियो।  यसअघि रुसले सन् १९७६ मा आफ्नो पहिलो चन्द्रयान प्रक्षेपण गरेको थियो। मानवरहित उक्त यान चन्द्रमाको दक्षिणी ध्रुवमा नियन्त्रित अवतरण गर्ने क्रममा थियो।  तर अवतरण गर्नुअघिको कक्षमा पुगेपछि त्यसमा समस्या देखिएको थियो।  रुसी सरकारी अन्तरिक्ष निकाय रोसकोमोसले लूना-२५ मा समस्या देखा परेलगत्तै त्यससँग सम्पर्क गुमाएको जनाएको छ।  उक्त यानको अवतरण सोमवारका लागि तय गरिएको थियो।  चन्द्रमाको उक्त क्षेत्रमा बरफ र महत्त्वपूर्ण तत्त्वहरू हुनसक्ने वैज्ञानिकहरूले ठानेका छन्।  रुसले झन्डै ५० वर्षपछि चन्द्रमामा अन्तरिक्षयान प्रक्षेपण गरेको थियो पश्चिमा प्रतिबन्धहरूको सामना गरिरहेको रुसले थप चन्द्रयानहरू पठाउने र चीनसँग मिलेर पनि अन्तरिक्ष अभियान अघि बढाउने बताउने गरेको छ। हालसम्म कुनै पनि देश नपुगेको दक्षिणी ध्रुवमा यतिखेर भारत तथा रुसबिच प्रतिस्पर्धा चलेको थियो जहाँ भारतको चन्द्रयान-३ अर्को साता त्यहाँ अवतरण गर्ने प्रयासमा छ। यद्यपि अमेरिका र चीनले चन्द्रमाको सतहमा नियन्त्रित अवतरण गरिसकेका छन्। 2023 बीबीसी। अन्य वेबसाइटका सामग्रीहरूका लागि बीबीसी जिम्मेवार छैन।  ,https://www.bbc.com/nepali/articles/ckm20r5mpg7o,BBC
unknown,politics,शोकबीच ९२ दिनमा १४ हिमाल सबैभन्दा छोटो समय अर्थात् ९२ दिनमा उनले नर्वेली पर्वतारोही क्रिस्टिन हरिलासँगै विश्वका चौध वटा अग्ला हिमाल आरोहण गरेर कीर्तिमान बनाएका हुन्।  सङ्खुवासभाका चौँतीस वर्षीय शेर्पाका दाजु फुर्वा शेर्पाले त्यसै बीचमा सगरमाथा सफाइ अभियानका क्रममा ज्यान गुमाएका थिए।  तै पनि विश्राम नलिई छोटो समयमा १४ हिमाल चढेर कीर्तिमान बनाउँदा अहिले उनी हर्षित छन्।  हेर्नुहोस् कमल परियारले बनाएको यो भिडिओ। 2023 बीबीसी। अन्य वेबसाइटका सामग्रीहरूका लागि बीबीसी जिम्मेवार छैन।  ,nepali,20-08-2023,कीर्तिमानी आरोही तेन्जेन शेर्पाले दाजु गुमाएको शोकबीच कीर्तिमान बनाउनु निकै कष्टकर भएको बताएका छन्। शोकबीच ९२ दिनमा १४ हिमाल सबैभन्दा छोटो समय अर्थात् ९२ दिनमा उनले नर्वेली पर्वतारोही क्रिस्टिन हरिलासँगै विश्वका चौध वटा अग्ला हिमाल आरोहण गरेर कीर्तिमान बनाएका हुन्।  सङ्खुवासभाका चौँतीस वर्षीय शेर्पाका दाजु फुर्वा शेर्पाले त्यसै बीचमा सगरमाथा सफाइ अभियानका क्रममा ज्यान गुमाएका थिए।  तै पनि विश्राम नलिई छोटो समयमा १४ हिमाल चढेर कीर्तिमान बनाउँदा अहिले उनी हर्षित छन्।  हेर्नुहोस् कमल परियारले बनाएको यो भिडिओ। 2023 बीबीसी। अन्य वेबसाइटका सामग्रीहरूका लागि बीबीसी जिम्मेवार छैन।  ,https://www.bbc.com/nepali/articles/c725w7qelv8o,BBC
unknown,politics,"नेपाल र पाकिस्तानका केही भागमा पनि ठूलो क्षति भएको छ। विज्ञहरूका अनुसार भारी वर्षा र संरचनाहरूको कमजोर निर्माणकार्यले यस क्षेत्रमा थप विपत्ति निम्त्याइरहेको छ। यससँगै वर्षाको असामान्य वृद्धिले पनि त्यस्ता भूभागलाई थप जोखिमपूर्ण बनाइरहेको छ। हालै गरिएको एक अध्ययनले हिमालय लगायत विश्वका पर्वतहरूमा पहिले सबैभन्दा बढी हिउँ पर्ने उचाइमा अहिले अत्यधिक वर्षा भइरहेको देखाएको छ।  बढ्दो तापमानले वर्षा गराउने मात्र नभई हिउँ र बरफ पनि पग्लने भएकाले यो परिवर्तनले पर्वतहरूलाई थप जोखिमपूर्ण बनाएको वैज्ञानिकहरूको भनाइ छ। वर्षाको पानीले माटोलाई पनि शिथिल बनाउँछ जसले गर्दा पहिरो जान्छ, चट्टान खस्छ, बाढी आउँछ। यसको परिणामस्वरूप पानी मिसिएको लेदो माटो र टुक्रिएका चट्टानहरू पर्वतबाट तल खस्छन्। बढ्दो वर्षा र पग्लिएको हिउँका कारण पर्वतीय क्षेत्रमा प्रकोपको जोखिम वृद्धि भइरहेको छ ""हाम्रो अध्ययनको निष्कर्षले उच्च स्थानमा, विशेष गरी उत्तरी गोलार्धको हिउँ धेरै पर्ने क्षेत्रहरूमा तापमान बढ्नुका कारण वर्षाको वृद्धि भएको देखाउने प्रमाणका केही सङ्केतहरू उपलब्ध गराउँछ,” नेचर जर्नलमा गत जुन महिनामा प्रकाशित अध्ययनमा लेखिएको छ। यी निष्कर्ष इन्टरगभर्मेन्टल प्यानल अन क्लाइमेट चेन्ज (आईपीसीसी) ले सन् २०१९ मा तयार पारेको विशेष प्रतिवेदनको निचोडसँग मिल्दो छ। उक्त प्रतिवेदनअनुसार उच्च तापक्रमका कारण हिमपातमा कमी आएको छ। यो प्रभाव विशेष गरी हिमाली क्षेत्रको तल्लो भेगमा देखिएको छ। ""उच्च हिमाली क्षेत्रमा प्रायः सबै मौसममा वर्षा भइरहेको धेरै उदाहरणहरू छन्,"" फ्रान्सको न्याशनल सेन्टर फर  मिटिअरोलोजिकल रिसर्चका कार्यकारी निर्देशक तथा आईपीसीसीको विशेष प्रतिवेदनका लेखकमध्येका एक स्यामुएल मोरिन भन्छन्। शून्य-डिग्री आइसोथर्म भनिने चिसो हिउँ खस्ने बिन्दु पनि माथि सरेको छ। यो विश्वको तापमान बढ्न गएको कारण भएको हो।  ""फलस्वरूप यी पर्वतीय क्षेत्रहरू अत्यधिक वर्षाका घटना तथा त्यसले निम्त्याउने बाढी, पहिरो र भू-क्षय जस्ता खतराहरूको उच्च जोखिममा रहेका ठानिएको छ,"" अध्ययनमा भनिएको छ। भारतको हिमालय क्षेत्रमा वर्षाको क्रम र तीव्रता बढेको छ उत्तरी गोलार्धका आल्प्स र रकीजजस्ता अन्य हिमाली क्षेत्रको तुलनामा हिमालय क्षेत्रमा यस्तो जोखिम बढी रहेको युनिभर्सिटी अफ मिसिगनका सहायक प्राध्यापक तथा उक्त अध्ययनका प्रमुख लेखक मोहम्मद ओम्बादीले बीबीसीलाई बताए। ""यस्तो किन हुन्छ भने हिमालयमा तापक्रम वृद्धिसँग सम्बन्धित अन्य प्रक्रियाहरू छन् जसले हावाको ढाँचा र आँधीको मार्ग परिवर्तन गर्छ। फलस्वरूप आँधीको गति तीव्र बन्छ।""  भारत, भुटान, नेपाल र पाकिस्तानमा फैलिएको हिमालय पर्वत शृङ्खलाहरूमा निकै कम मौसमसम्बन्धी जानकारी राख्ने केन्द्रहरू छन् जसले गर्दा प्रायः यकिन तथ्याङ्कको अभाव हुने गरेको छ। पर्वतहरूको तल्लो भागमा केही स्टेशनहरू राखिएका छन् तर तिनीहरूले सङ्कलन गरेको प्रिसिपिटेशन भनिने आकाशबाट पानी झर्ने प्रणालीकाबारे प्राप्त जानकारीले त्यो वर्षाको हो वा हिमपातको हो भन्ने छुट्टाउँदैन। यद्यपि सगरमाथाको आधार शिविर (५३१५ मिटर) मा स्थापना गरिएको मौसम स्टेशनले सन् २०२३ को जुन १ देखि अगस्ट १० सम्म त्यहाँ २४५.५ मिलिमिटर वर्षा भएकोमा त्यसमध्ये ७५ प्रतिशत 'प्रिसिपिटेशन' वर्षाका कारण भएको देखाएको छ। त्यसबाहेक अरू हिउँ वा हिउँ र पानीको मिश्रण थिए। यो सन् २०२२ को जुनदेखि सेप्टेम्बरसम्म भएको ३२ प्रतिशत वर्षाको तुलनामा अधिक धेरै हो। सन् २०२१ को सोही चार महिनामा ४३ प्रतिशत वर्षा भएको थियो भने सन् २०२० मा त्यो सङ्ख्या ४१ प्रतिशत थियो। “हामीलाई हिमपातको तुलनामा वर्षाको घटना बढी हुने गरी देखिएको परिवर्तन हालसालैको घटनाक्रम हो भन्ने लाग्छ। तर यसलाई मापन गर्ने लामो अवधिको पूर्ण तथ्याङ्क छैन,” न्याशनल जियोग्राफिक तथा रोलेक्स पर्पेचुअल प्लानेट एक्सपिडिशनमा संलग्न बेकर पेरी र टम म्याथ्युजले भने। हिमाली राज्य उत्तराखण्डका हिमालहरूमा वर्षाको प्रवृत्तिमा परिवर्तन भएको बताउँछन् त्यहाँको क्षेत्रीय मौसम कार्यालयका प्रमुख विक्रम सिंह। ""हामी निश्चित रूपमा भन्न सक्छौँ- हिमपातको दर कम भएको छ र यो सामान्यतया ६,००० मिटर भन्दा कम उचाइमा भइरहेको छ। मनसुनको समयमा तल्लो भेगमा भारी वर्षा हुन्छ,“ उनले भने। घट्दो हिमपात र बढ्दो वर्षाको अर्थ उक्त क्षेत्रका नदीहरूको प्रकृति पनि परिवर्तन भएको बताउँछन् कुमाउँ विश्वविद्यालयको भूगोल विभागका पूर्व प्रमुख प्राध्यापक जेएस रावत। ""अत्यधिक वर्षापछि अहिले धेरै ठाउँमा बाढी आएको छ र कुनै समय यस क्षेत्रमा अवस्थित नदीहरूको स्रोत हिमनदीहरू हुन्थे भने अहिले धेरै जसो वर्षामा आधारित नदीमा परिणत भएका छन्।"" उत्तराखण्ड र हिमाचल प्रदेशमा पहिरोमा परी दर्जनौँ मानिसले ज्यान गुमाए बढ्दो तापमानले गर्दा हिमालयका हिमनदी पग्लने क्रम तीव्र भएको छ जसले गर्दा हिमतालहरू द्रुत गतिमा भरिन्छन्। त्यसपछि बाढीको जोखिम बढ्छ हुन्छ। हिमनदी पातलो बन्दा पर्वत पनि अस्थिर बनेको छ। हिमालय क्षेत्रमा विश्वको औसतभन्दा तीन गुणा बढी तापक्रम वृद्धि हुने अनुमान गरिएको छ र यसका कारण त्यहाँ वर्षामा उल्लेखनीय वृद्धि हुने विभिन्न विभिन्न अध्ययनहरूले देखाएका छन्। उत्तरी भारतको उत्तराखण्ड र हिमाचल प्रदेशका स्थानीयवासीले मनसुनको समयमा पहिरो र बाढी क्रम र तीव्रता बढेको अनुभव गरेका छन्। ""हिमालतिर बढी पानी परेका कारण हाम्रो गाउँ गनाई पहिल्यै पहिरोको जोखिममा थियो। त्यसैले हामीले त्यस ठाउँ छोडेर अन्यत्र जानुपर्‍यो,” उत्तराखण्डको चमोली जिल्लाको मायापुर गाउँका २५ वर्षीय प्रभाकर भट्ट भन्छन्। ""तर यहाँ पनि हामी घरबारविहीन भएका छौँ।“ अगस्ट १४ को मध्यरात हुनै लाग्दा भट्टको दुई तले घरमा ठूलो बाढी आयो र त्यसलाई ढुङ्गा, गिट्टी र हिलोमुनि पुरिदियो। ""माथिल्लो भेगमा रहेका गाउँका मानिसहरूले हामीलाई त्यहाँ धेरै पानी परिरहेको र अचानक बाढी आउन सक्ने चेतावनी दिएका थिए। त्यसैले हामी बाँच्न सफल भयौँ,” उनी सुनाउँछन्।  स्थानीयवासी भन्छन् यो क्षेत्र 'बस्न अयोग्य' भएको छ भट्टका अनुसार उनको परिवार त्यो राति सुतेन र “अनौठो आवाज” सुनेपछि भागेको थियो। “मेरो बुबाले जीवनभरको कमाई खर्चेर घर बनाउनुभएको थियो तर अहिले त्यो पनि रहेन,” उनी भन्छन्। ""अब यो ठाउँ बस्न योग्य छैन।“ पर्यावरणीय दृष्टिकोणमा संवेदनशील क्षेत्रमा सडक, सुरुङ, जलविद्युत्जस्ता पूर्वाधारको जथाभाबी विकासले पनि यस्ता विपत्ति निम्त्याउने गरेको विज्ञहरू बताउँछन्। हिमालय भूकम्पीय क्षेत्रमा अवस्थित हुने भएकाले भूकम्पले स्थितिलाई झनै खराब बनाउँछ।   बढ्दो वर्षाको असर भारतीय सीमा क्षेत्रमा पनि देखिन थालेको छ। उत्तरी पाकिस्तानमा हिमालय काराकोरम र हिन्दुकुश पर्वतहरूसँग जोडिन्छ। त्यहाँ चट्टानका अवशेष बग्ने र अचानक बाढी आउने क्रम बढ्दै गएको अधिकारीहरूले बताएका छन्। क्षेत्रीय विपद् व्यवस्थापन प्राधिकरणका महानिर्देशक कमाल कमारले गत मनसुनमा गिलगिट बाल्टिस्तान क्षेत्रमा १२० वटा आकस्मिक बाढी आएको जानकारी दिए।  “करिब ४,००० मिटरको उचाइमा गर्मीमा मात्र नभई जाडोमा पनि पानी परिरहेको छ,” उनी भन्छन्। नेपालको पूर्वी हिमालयमा अचानक आउने बाढी र पहिरोका कारण जलविद्युत र खानेपानी जस्ता महत्त्वपूर्ण पूर्वाधारहरू ध्वस्त भइरहेका छन्। नेपालको स्वतन्त्र ऊर्जा उत्पादक सङ्घका अनुसार यस वर्षको मनसुनमा पूर्वी नेपालमा ३० वटा जलविद्युत् आयोजनामा क्षति पुगेको छ। नेपालको हिमाली जिल्ला मुस्ताङमा मुसलधारे वर्षापछि आएको पहिरोका कारण एउटा खोला थुनिएर पानी जम्यो। अगस्ट १३ मा जमेको पानीको ताल विस्फोट हुँदा बाढी आइ तल्लो भेगका घर, पुल र सवारीसाधनहरू बगायो। यो पहिले पानी कम पर्ने क्षेत्र थियो जहाँ पहिले हिमालय पर्वतहरूले छेकेका कारण आर्द्रता बोक्ने बादलहरू पुग्न सक्दैनथे।  विज्ञहरूका अनुसार हिमालय क्षेत्रका पर्वतहरूमा यस्ता घटनाहरू बारम्बार र तीव्र हुँदै गएका छन्। काठमाण्डूस्थित इन्टरन्याशनल सेन्टर फर इन्टिग्रेटेड माउन्टेन डेभलपमेन्टका अनुसन्धाता जेकब स्टेनरका अनुसार यस्ता घटनाहरूको असर स्वरूप अर्को घटना घट्छ र अवस्थालाई झनै विकराल बनाउँछ। “र उच्च वर्षाको तीव्रता प्रायः यस्ता शृङ्खलाहरूको सुरुवात वा प्रभाव मात्र हो,” उनले चेतावनी दिए। 2023 बीबीसी। अन्य वेबसाइटका सामग्रीहरूका लागि बीबीसी जिम्मेवार छैन।  ",nepali,20-08-2023,"यो महिना भारतको हिमाली क्षेत्रमा आएको बाढी र पहिरोका कारण दर्जनौँ मानिसले ज्यान गुमाएका छन् भने आवासीय तथा अन्य भवनहरू पुरिएका छन्। नेपाल र पाकिस्तानका केही भागमा पनि ठूलो क्षति भएको छ। विज्ञहरूका अनुसार भारी वर्षा र संरचनाहरूको कमजोर निर्माणकार्यले यस क्षेत्रमा थप विपत्ति निम्त्याइरहेको छ। यससँगै वर्षाको असामान्य वृद्धिले पनि त्यस्ता भूभागलाई थप जोखिमपूर्ण बनाइरहेको छ। हालै गरिएको एक अध्ययनले हिमालय लगायत विश्वका पर्वतहरूमा पहिले सबैभन्दा बढी हिउँ पर्ने उचाइमा अहिले अत्यधिक वर्षा भइरहेको देखाएको छ।  बढ्दो तापमानले वर्षा गराउने मात्र नभई हिउँ र बरफ पनि पग्लने भएकाले यो परिवर्तनले पर्वतहरूलाई थप जोखिमपूर्ण बनाएको वैज्ञानिकहरूको भनाइ छ। वर्षाको पानीले माटोलाई पनि शिथिल बनाउँछ जसले गर्दा पहिरो जान्छ चट्टान खस्छ बाढी आउँछ। यसको परिणामस्वरूप पानी मिसिएको लेदो माटो र टुक्रिएका चट्टानहरू पर्वतबाट तल खस्छन्। बढ्दो वर्षा र पग्लिएको हिउँका कारण पर्वतीय क्षेत्रमा प्रकोपको जोखिम वृद्धि भइरहेको छ ""हाम्रो अध्ययनको निष्कर्षले उच्च स्थानमा विशेष गरी उत्तरी गोलार्धको हिउँ धेरै पर्ने क्षेत्रहरूमा तापमान बढ्नुका कारण वर्षाको वृद्धि भएको देखाउने प्रमाणका केही सङ्केतहरू उपलब्ध गराउँछ” नेचर जर्नलमा गत जुन महिनामा प्रकाशित अध्ययनमा लेखिएको छ। यी निष्कर्ष इन्टरगभर्मेन्टल प्यानल अन क्लाइमेट चेन्ज (आईपीसीसी) ले सन् २०१९ मा तयार पारेको विशेष प्रतिवेदनको निचोडसँग मिल्दो छ। उक्त प्रतिवेदनअनुसार उच्च तापक्रमका कारण हिमपातमा कमी आएको छ। यो प्रभाव विशेष गरी हिमाली क्षेत्रको तल्लो भेगमा देखिएको छ। ""उच्च हिमाली क्षेत्रमा प्रायः सबै मौसममा वर्षा भइरहेको धेरै उदाहरणहरू छन्"" फ्रान्सको न्याशनल सेन्टर फर  मिटिअरोलोजिकल रिसर्चका कार्यकारी निर्देशक तथा आईपीसीसीको विशेष प्रतिवेदनका लेखकमध्येका एक स्यामुएल मोरिन भन्छन्। शून्य-डिग्री आइसोथर्म भनिने चिसो हिउँ खस्ने बिन्दु पनि माथि सरेको छ। यो विश्वको तापमान बढ्न गएको कारण भएको हो।  ""फलस्वरूप यी पर्वतीय क्षेत्रहरू अत्यधिक वर्षाका घटना तथा त्यसले निम्त्याउने बाढी पहिरो र भू-क्षय जस्ता खतराहरूको उच्च जोखिममा रहेका ठानिएको छ"" अध्ययनमा भनिएको छ। भारतको हिमालय क्षेत्रमा वर्षाको क्रम र तीव्रता बढेको छ उत्तरी गोलार्धका आल्प्स र रकीजजस्ता अन्य हिमाली क्षेत्रको तुलनामा हिमालय क्षेत्रमा यस्तो जोखिम बढी रहेको युनिभर्सिटी अफ मिसिगनका सहायक प्राध्यापक तथा उक्त अध्ययनका प्रमुख लेखक मोहम्मद ओम्बादीले बीबीसीलाई बताए। ""यस्तो किन हुन्छ भने हिमालयमा तापक्रम वृद्धिसँग सम्बन्धित अन्य प्रक्रियाहरू छन् जसले हावाको ढाँचा र आँधीको मार्ग परिवर्तन गर्छ। फलस्वरूप आँधीको गति तीव्र बन्छ।""  भारत भुटान नेपाल र पाकिस्तानमा फैलिएको हिमालय पर्वत शृङ्खलाहरूमा निकै कम मौसमसम्बन्धी जानकारी राख्ने केन्द्रहरू छन् जसले गर्दा प्रायः यकिन तथ्याङ्कको अभाव हुने गरेको छ। पर्वतहरूको तल्लो भागमा केही स्टेशनहरू राखिएका छन् तर तिनीहरूले सङ्कलन गरेको प्रिसिपिटेशन भनिने आकाशबाट पानी झर्ने प्रणालीकाबारे प्राप्त जानकारीले त्यो वर्षाको हो वा हिमपातको हो भन्ने छुट्टाउँदैन। यद्यपि सगरमाथाको आधार शिविर (५३१५ मिटर) मा स्थापना गरिएको मौसम स्टेशनले सन् २०२३ को जुन १ देखि अगस्ट १० सम्म त्यहाँ २४५.५ मिलिमिटर वर्षा भएकोमा त्यसमध्ये ७५ प्रतिशत 'प्रिसिपिटेशन' वर्षाका कारण भएको देखाएको छ। त्यसबाहेक अरू हिउँ वा हिउँ र पानीको मिश्रण थिए। यो सन् २०२२ को जुनदेखि सेप्टेम्बरसम्म भएको ३२ प्रतिशत वर्षाको तुलनामा अधिक धेरै हो। सन् २०२१ को सोही चार महिनामा ४३ प्रतिशत वर्षा भएको थियो भने सन् २०२० मा त्यो सङ्ख्या ४१ प्रतिशत थियो। “हामीलाई हिमपातको तुलनामा वर्षाको घटना बढी हुने गरी देखिएको परिवर्तन हालसालैको घटनाक्रम हो भन्ने लाग्छ। तर यसलाई मापन गर्ने लामो अवधिको पूर्ण तथ्याङ्क छैन” न्याशनल जियोग्राफिक तथा रोलेक्स पर्पेचुअल प्लानेट एक्सपिडिशनमा संलग्न बेकर पेरी र टम म्याथ्युजले भने। हिमाली राज्य उत्तराखण्डका हिमालहरूमा वर्षाको प्रवृत्तिमा परिवर्तन भएको बताउँछन् त्यहाँको क्षेत्रीय मौसम कार्यालयका प्रमुख विक्रम सिंह। ""हामी निश्चित रूपमा भन्न सक्छौँ- हिमपातको दर कम भएको छ र यो सामान्यतया ६००० मिटर भन्दा कम उचाइमा भइरहेको छ। मनसुनको समयमा तल्लो भेगमा भारी वर्षा हुन्छ“ उनले भने। घट्दो हिमपात र बढ्दो वर्षाको अर्थ उक्त क्षेत्रका नदीहरूको प्रकृति पनि परिवर्तन भएको बताउँछन् कुमाउँ विश्वविद्यालयको भूगोल विभागका पूर्व प्रमुख प्राध्यापक जेएस रावत। ""अत्यधिक वर्षापछि अहिले धेरै ठाउँमा बाढी आएको छ र कुनै समय यस क्षेत्रमा अवस्थित नदीहरूको स्रोत हिमनदीहरू हुन्थे भने अहिले धेरै जसो वर्षामा आधारित नदीमा परिणत भएका छन्।"" उत्तराखण्ड र हिमाचल प्रदेशमा पहिरोमा परी दर्जनौँ मानिसले ज्यान गुमाए बढ्दो तापमानले गर्दा हिमालयका हिमनदी पग्लने क्रम तीव्र भएको छ जसले गर्दा हिमतालहरू द्रुत गतिमा भरिन्छन्। त्यसपछि बाढीको जोखिम बढ्छ हुन्छ। हिमनदी पातलो बन्दा पर्वत पनि अस्थिर बनेको छ। हिमालय क्षेत्रमा विश्वको औसतभन्दा तीन गुणा बढी तापक्रम वृद्धि हुने अनुमान गरिएको छ र यसका कारण त्यहाँ वर्षामा उल्लेखनीय वृद्धि हुने विभिन्न विभिन्न अध्ययनहरूले देखाएका छन्। उत्तरी भारतको उत्तराखण्ड र हिमाचल प्रदेशका स्थानीयवासीले मनसुनको समयमा पहिरो र बाढी क्रम र तीव्रता बढेको अनुभव गरेका छन्। ""हिमालतिर बढी पानी परेका कारण हाम्रो गाउँ गनाई पहिल्यै पहिरोको जोखिममा थियो। त्यसैले हामीले त्यस ठाउँ छोडेर अन्यत्र जानुपर्‍यो” उत्तराखण्डको चमोली जिल्लाको मायापुर गाउँका २५ वर्षीय प्रभाकर भट्ट भन्छन्। ""तर यहाँ पनि हामी घरबारविहीन भएका छौँ।“ अगस्ट १४ को मध्यरात हुनै लाग्दा भट्टको दुई तले घरमा ठूलो बाढी आयो र त्यसलाई ढुङ्गा गिट्टी र हिलोमुनि पुरिदियो। ""माथिल्लो भेगमा रहेका गाउँका मानिसहरूले हामीलाई त्यहाँ धेरै पानी परिरहेको र अचानक बाढी आउन सक्ने चेतावनी दिएका थिए। त्यसैले हामी बाँच्न सफल भयौँ” उनी सुनाउँछन्।  स्थानीयवासी भन्छन् यो क्षेत्र 'बस्न अयोग्य' भएको छ भट्टका अनुसार उनको परिवार त्यो राति सुतेन र “अनौठो आवाज” सुनेपछि भागेको थियो। “मेरो बुबाले जीवनभरको कमाई खर्चेर घर बनाउनुभएको थियो तर अहिले त्यो पनि रहेन” उनी भन्छन्। ""अब यो ठाउँ बस्न योग्य छैन।“ पर्यावरणीय दृष्टिकोणमा संवेदनशील क्षेत्रमा सडक सुरुङ जलविद्युत्जस्ता पूर्वाधारको जथाभाबी विकासले पनि यस्ता विपत्ति निम्त्याउने गरेको विज्ञहरू बताउँछन्। हिमालय भूकम्पीय क्षेत्रमा अवस्थित हुने भएकाले भूकम्पले स्थितिलाई झनै खराब बनाउँछ।   बढ्दो वर्षाको असर भारतीय सीमा क्षेत्रमा पनि देखिन थालेको छ। उत्तरी पाकिस्तानमा हिमालय काराकोरम र हिन्दुकुश पर्वतहरूसँग जोडिन्छ। त्यहाँ चट्टानका अवशेष बग्ने र अचानक बाढी आउने क्रम बढ्दै गएको अधिकारीहरूले बताएका छन्। क्षेत्रीय विपद् व्यवस्थापन प्राधिकरणका महानिर्देशक कमाल कमारले गत मनसुनमा गिलगिट बाल्टिस्तान क्षेत्रमा १२० वटा आकस्मिक बाढी आएको जानकारी दिए।  “करिब ४००० मिटरको उचाइमा गर्मीमा मात्र नभई जाडोमा पनि पानी परिरहेको छ” उनी भन्छन्। नेपालको पूर्वी हिमालयमा अचानक आउने बाढी र पहिरोका कारण जलविद्युत र खानेपानी जस्ता महत्त्वपूर्ण पूर्वाधारहरू ध्वस्त भइरहेका छन्। नेपालको स्वतन्त्र ऊर्जा उत्पादक सङ्घका अनुसार यस वर्षको मनसुनमा पूर्वी नेपालमा ३० वटा जलविद्युत् आयोजनामा क्षति पुगेको छ। नेपालको हिमाली जिल्ला मुस्ताङमा मुसलधारे वर्षापछि आएको पहिरोका कारण एउटा खोला थुनिएर पानी जम्यो। अगस्ट १३ मा जमेको पानीको ताल विस्फोट हुँदा बाढी आइ तल्लो भेगका घर पुल र सवारीसाधनहरू बगायो। यो पहिले पानी कम पर्ने क्षेत्र थियो जहाँ पहिले हिमालय पर्वतहरूले छेकेका कारण आर्द्रता बोक्ने बादलहरू पुग्न सक्दैनथे।  विज्ञहरूका अनुसार हिमालय क्षेत्रका पर्वतहरूमा यस्ता घटनाहरू बारम्बार र तीव्र हुँदै गएका छन्। काठमाण्डूस्थित इन्टरन्याशनल सेन्टर फर इन्टिग्रेटेड माउन्टेन डेभलपमेन्टका अनुसन्धाता जेकब स्टेनरका अनुसार यस्ता घटनाहरूको असर स्वरूप अर्को घटना घट्छ र अवस्थालाई झनै विकराल बनाउँछ। “र उच्च वर्षाको तीव्रता प्रायः यस्ता शृङ्खलाहरूको सुरुवात वा प्रभाव मात्र हो” उनले चेतावनी दिए। 2023 बीबीसी। अन्य वेबसाइटका सामग्रीहरूका लागि बीबीसी जिम्मेवार छैन।  ",https://www.bbc.com/nepali/articles/cp408wqr0yqo,BBC
